ID,CommunityArea,Region,"Infant Mortality (per 100,000 Residents)",Child Uninsurance Rate (%),"Vaccine-Preventable Diseases Reported, 2000-2014",Overweight or Obese CPS students (%),"Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Chlamydia Prevalence, 15-19 Year Old Females (%)","Children with Elevated Lead Blood Levels, 2014 (%)","Life Expectancy at Birth, 2010","Annual Years of Potential Life Lost (per 100,000 residents)",Obesity Prevalence Estimate (%),"Stroke Mortality (per 100,000 Residents)","CHD Mortality (per 100,000 Residents)","Heart Disease Mortality (per 100,000 Residents)","Cancer Mortality (per 100,000 Residents)","Lung Cancer Mortality (per 100,000 Residents)","Breast Cancer Mortality (per 100,000 Residents)","Cervical Cancer Mortality (per 100,000 Residents)","Colorectal Cancer Mortality (per 100,000 Residents)","Prostate Cancer Mortality (per 100,000 Residents)","Diabetes Related Mortality (per 100,000 Residents)","Alzheimers Mortality (per 100,000 Residents)","HIV Mortality (per 100,000 Residents)","Accidents Mortality (per 100,000 Residents)","Homicides Mortality (per 100,000 Residents)","Firearm Related Mortality (per 100,000 Residents)","Motor Vehicle Mortality (per 100,000 Residents)","Suicides Mortality (per 100,000 Residents)","Drug Induced Mortality (per 100,000 Residents)","Alchohol Induced Mortality (per 100,000 Residents)","Asthma Mortality (per 100,000 Residents)","Pulmonary Disease Mortality (per 100,000 Residents)","Diet-Related Mortality (per 100,000 Residents)",Hardship Index 2012,Educational Opportunity Index,"Child Opportunity Index, 2014",Race-Ethnicity Diversity Index,Income Diversity Index,Population,"Change in Population, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012",2010 Socioeconomic Index,"Socioeconomic Index Change, 2000-2010",Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Foreign-Born (%),Not US Citizen (%),Disabled (%),Limited English Proficiency (%),Age <5 (%),Age <18 (%),Age 65+ (%),Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Median HH Income ($),Per Capita Income ($),Unemployment (%),Households Receiving SNAP Benefits (%),Households in Poverty (%),Children Living in Poverty (%),Food Insecure (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),Median Home Value ($),"Change in Median Home Value, 2006-2012 (%)",Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Income Spent on Housing (%),"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)",No Car Ownership (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014","Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",Private Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%)
51,South Deering ,8,13,0.36,6,49.6,85.3,12.9,66.5,85.31,2.80,76.2,11692,29.7,62.3,125.7,222.4,209.5,63.3,24.9,0,30.2,42,72.6,11.1,7.8,26.4,25,25,13.9,12.1,11,4.1,1.7,21.8,390.6,65,-0.299,-0.414,0.497,0.547,16445,-5,-96,-11,0,31.61,5.42,60.94,0.30,14.00,6.84,14.06,10.77,5.30,27.29,12.25,29.31,57.84,59.69,8.81,37.51,36.15,34857,14746,16.31,23.87,29.22,47.69,24.86,21.00,79.00,12.12,93.95,,125850,-75.2,9.81,58.66,41.34,9.86,35.80,19.34,13.92,0.83,2.23,0.75,34.11,2.2,3.9,20.18,1.21,0.48,77.85,20.45,0.06,0.36,45.67,12.77,20,41.47,5.15,40.77,46.75,21.29,26.18,55.18
52,East Side ,8,7.2,0.45,12,46.6,63,7.7,73.2,26.06,3.38,78.4,5975,28.8,30.2,112.4,188.5,170.3,37.8,20.6,0.8,18.1,17.1,67.6,12.2,1.9,32.7,7,7,10.9,7.7,9.7,4,1.8,31.9,306.5,64,-0.509,-0.399,0.345,0.609,23517,55,64,-5,-2,79.10,17.40,2.70,0.43,31.19,16.45,9.50,27.89,8.54,32.21,10.61,39.94,30.37,40.71,6.65,45.62,26.81,42046,16873,12.15,16.41,19.22,36.15,15.43,31.95,68.05,12.32,90.91,20.49,140567,-66.8,12.39,68.19,31.81,5.94,45.42,20.75,12.74,0.14,1.81,1.28,33.41,1.5,3.2,13.74,4.14,0.08,85.69,10.08,0.04,1.32,15.67,3.69,11,24.09,5.78,21.27,48.10,20.83,27.57,48.52
53,West Pullman ,8,10.8,0.32,17,41.2,80.2,10.6,64.9,82.30,6.35,71.6,14460,22.2,56.7,162.9,302.5,251.9,76.8,30,4.4,31.6,37.2,93.1,22.1,13,37.5,39.6,39.6,11.1,11.8,16.4,5.8,6.4,25.9,484.2,62,-0.198,-0.486,0.119,0.588,30810,-2537,4,-9,-2,4.14,1.63,93.55,0.00,2.69,1.81,14.94,2.25,6.41,28.11,12.82,27.11,58.72,66.88,9.14,39.46,52.45,40565,17491,18.88,28.16,23.93,42.97,31.29,19.18,80.82,15.16,91.42,,128167,-78.5,18.90,63.51,36.49,6.93,39.30,15.00,14.48,0.38,2.29,0.80,35.51,2.7,6.4,16.59,2.37,0.00,71.68,25.69,0.03,1.68,32.93,13.60,54,34.39,5.57,40.06,45.40,17.45,19.42,46.78
54,Riverdale ,8,8.3,0.64,2,41.1,52.8,14.6,68.8,119.44,6.25,76.4,11545,22.4,63.6,120,200.9,204,55.2,8.8,2.9,28.1,22.6,137.2,12.3,12.7,31.2,35.4,35.4,0,9.2,12.5,0,26.9,23,425.4,98,-0.207,-1.338,0.092,0.306,6820,-1681,-13,-9,0,1.99,0.00,97.92,0.00,0.79,0.00,15.78,1.06,8.56,44.09,7.43,48.62,84.15,94.33,9.43,55.08,24.18,14472,8191,34.64,65.50,56.50,63.65,43.06,27.48,72.52,7.73,98.08,13.18,89400,,30.56,12.88,87.12,13.26,64.17,7.71,3.49,0.99,9.99,1.72,34.80,1.6,25.3,45.09,9.83,0.00,52.44,37.28,0.14,0.16,37.80,22.68,21,46.39,4.79,72.16,22.38,17.70,20.55,29.04
55,Hegewisch ,8,10.4,0.67,5,44.3,47.3,20,54.4,27.03,3.33,77.1,7704,22.1,40.4,121.4,207.3,227.1,64.6,33.5,1.5,21.2,10,49.1,14.2,2,23.7,9.2,9.2,7,4.1,2.3,18.3,0,35.3,319.4,44,-0.122,-0.434,0.565,0.630,10168,-37,164,-3,-6,50.84,39.11,9.18,0.17,10.94,4.14,12.77,8.60,6.84,28.87,14.01,34.81,37.79,45.57,13.40,39.31,11.98,48463,22485,9.60,13.02,17.05,27.25,12.89,19.22,80.78,19.24,86.33,,154550,-44.4,8.68,73.98,26.02,6.90,44.56,20.55,5.90,0.00,3.30,0.00,21.82,1.7,3.3,11.88,1.06,0.00,83.89,15.05,0.20,1.16,21.43,3.61,0,22.70,4.20,12.19,62.19,15.05,14.60,44.86
56,Garfield Ridge ,6,4.1,0.64,23,48.7,32.9,8.6,77.4,15.96,0.42,79.8,7820,27.4,42.8,170.9,239.5,213.4,56.3,22.7,2.2,22,28,70.6,18.5,3.6,28.1,9.3,9.3,5.8,9.6,9.6,8,7.1,31.3,375.7,32,-0.162,-0.046,0.565,0.639,33940,-1500,454,1,-6,38.85,52.91,5.79,1.87,22.68,9.45,10.93,17.31,5.95,23.14,14.98,30.16,13.07,21.11,11.16,32.93,27.68,51515,22051,11.27,8.24,8.79,15.24,10.07,19.29,80.71,18.83,80.38,32.09,194409,-48.2,6.13,83.38,16.62,4.43,41.01,22.72,10.81,0.41,0.54,0.91,25.75,1.3,0.9,10.36,2.85,0.00,83.19,13.54,0.06,3.24,17.62,2.55,3,15.57,4.29,15.32,72.99,12.31,13.93,41.16
57,Archer Heights ,6,1.9,0.45,7,46.4,47.1,6.9,72.2,23.55,2.46,79.5,5791,25.1,52.4,162.4,222.6,149.5,31.6,21.8,0,7.8,15.7,64.6,14.1,3.9,37.7,12.5,12.5,9.9,0,3.2,17.4,1.6,33.9,338.1,67,-0.654,-0.385,0.381,0.603,13434,-506,-46,-3,-6,73.93,22.35,1.58,1.58,41.83,26.57,6.97,40.53,10.99,30.04,9.19,45.24,23.05,31.91,7.78,49.60,31.03,44967,16952,16.47,17.35,14.09,19.92,16.19,35.88,64.12,9.39,94.83,16.77,217840,-54.7,11.21,64.36,35.64,8.21,52.86,22.86,6.39,0.00,2.09,1.20,39.41,1.6,1.5,11.58,6.28,0.29,76.92,16.19,0.35,1,32.85,4.70,0,37.53,5.25,25.52,45.46,25.42,35.14,63.13
58,Brighton Park ,6,6.4,0.59,24,47.8,53.6,9.4,75.6,25.21,4.73,80.8,5445,29.6,33.7,136,190.6,135.8,27.1,22.2,3.9,13.8,18.6,59.5,11.1,1.8,21.8,11.7,11.7,5.1,6.3,6.6,7.5,0.9,16.1,292.1,84,-0.506,-0.426,0.295,0.566,44148,-7,433,-7,-4,84.27,8.21,1.29,6.16,43.53,30.44,7.15,42.77,9.59,33.02,6.29,52.46,20.46,29.98,4.39,58.91,27.15,36229,13088,13.91,23.30,23.57,31.75,12.07,45.11,54.89,8.87,95.47,17.21,189850,-68.2,16.21,45.86,54.14,10.08,54.31,21.86,6.21,0.12,2.50,1.98,41.10,2.2,1.8,13.73,4.71,0.94,76.34,17.80,0.11,0.87,18.58,4.47,16,12.69,2.07,12.43,33.94,32.20,44.61,62.59
59,McKinley Park ,6,9.3,0.37,6,44.9,44.7,10.5,77,26.83,2.90,80.4,6284,28.4,48.4,150.8,206.4,146.7,43.2,22.5,1.9,10.4,13.4,44.1,17.4,1,26.8,8,8,7.6,4.3,9.2,11,0,24.6,322.7,61,-0.214,-0.094,0.569,0.591,16434,488,45,-1,0,62.02,18.12,2.98,16.07,36.61,20.82,8.99,34.47,7.77,27.83,7.78,37.99,21.07,31.07,5.09,44.86,31.47,41798,17164,13.44,15.81,18.69,22.12,12.01,32.87,67.13,14.18,92.19,,221700,-40.9,9.18,56.26,43.74,9.14,50.95,21.00,8.64,0.12,2.55,2.28,39.23,1.7,2,18.67,3.15,0.23,67.70,28.11,0.06,1.13,24.85,4.93,3,16.33,2.33,16.56,46.63,23.73,30.06,55.06
60,Bridgeport ,7,10.5,0.85,7,38.8,35,8.3,82.6,21.19,1.35,80.2,6439,21.6,31.5,133.8,198.8,185.8,62.9,20.3,0.5,21.8,14.5,47.4,13.1,1.8,27.7,5.3,5.3,6.6,10.2,13,8.5,2.8,28.9,302,43,-0.010,0.169,0.696,0.613,32430,141,628,7,6,28.57,33.18,1.96,33.42,34.14,15.82,8.90,29.52,5.03,21.27,10.05,28.87,24.94,35.49,7.69,30.88,20.03,45395,22664,13.69,13.18,18.93,28.80,14.23,22.24,77.76,23.62,85.88,,285460,-43.5,13.74,47.22,52.78,12.68,53.07,17.17,7.53,0.00,1.59,1.07,36.46,0.7,1.7,22.59,7.24,2.37,67.11,22.18,0.03,0.28,20.64,3.25,2,11.05,1.47,13.26,52.93,21.74,26.04,56.97
61,New City ,6,7.8,0.70,24,46.5,76.7,11.4,66.4,70.46,7.18,74.4,9727,27.8,40,161.5,272.1,203.1,71.7,24.3,4.2,21.7,29,91.3,13.3,8.1,33.7,27.7,27.7,7.5,3.9,12.6,14.3,3.4,22.9,423.7,91,-0.565,-0.641,0.607,0.552,42107,-4340,116,-9,-2,53.47,13.73,30.04,1.34,28.55,22.61,9.99,27.91,10.06,32.84,6.05,44.42,32.22,43.43,5.31,51.59,24.78,34500,12855,23.05,37.17,29.03,42.74,23.96,41.51,58.49,7.63,98.24,11.06,158171,-83.2,26.84,43.64,56.36,13.30,52.55,16.00,8.68,0.27,4.68,2.43,42.75,2.3,8,27.27,5.56,1.18,69.48,23.78,0.07,1.82,33.87,11.90,39,33.68,4.37,26.43,31.11,28.81,40.16,60.51
62,West Elsdon ,6,6.7,0.33,12,50.6,41.6,11.2,73.4,28.69,1.60,81,4838,31,39.6,157.4,213.9,164.4,49.6,15.4,0,10.1,31.1,72.1,12,0,35.4,2.9,2.9,10.1,12.9,8.5,6.4,2.6,26.4,319.9,69,-0.450,-0.131,0.344,0.594,18980,1483,149,-3,-4,78.03,17.76,2.13,1.70,39.73,25.32,7.03,35.66,7.85,28.61,9.13,42.29,19.14,33.35,6.27,47.34,42.94,47059,15984,16.71,17.55,15.58,26.83,7.92,36.97,63.03,12.08,95.96,22.01,196350,-54.9,5.86,73.40,26.60,7.28,50.94,21.88,9.19,0.38,1.05,1.61,36.48,2.5,1.4,6.92,2.35,0.00,79.11,18.20,0.05,1.92,21.04,3.53,5,15.04,4.35,16.49,48.46,25.09,28.68,59.93
63,Gage Park ,6,5.5,0.55,34,50.9,55.5,9.7,75.2,36.08,4.24,79.2,5407,30.7,42.5,115.6,178.2,165.1,29.4,26.2,2.2,15.3,55.4,67.2,11.3,4,30.4,10.2,10.2,8.9,4.9,9.6,6.4,2.5,22.9,302.7,93,-0.310,-0.228,0.170,0.561,39492,488,76,-5,0,89.78,4.74,4.42,1.01,45.96,35.37,5.64,45.17,8.73,33.12,5.65,49.86,20.92,28.90,6.25,58.73,39.71,37225,12491,18.22,25.68,23.39,33.02,13.34,51.52,48.48,6.65,97.15,46.71,183113,-73.9,9.84,56.37,43.63,9.29,52.83,26.40,5.99,0.00,3.33,3.29,44.73,2.9,1.9,14.35,2.10,0.46,77.51,19.14,0.03,1.09,20.35,4.61,13,26.08,4.10,16.04,31.40,34.00,47.48,62.09
64,Clearing ,6,7.1,1.51,16,46.5,19.7,8.4,73,13.11,2.96,77.5,8115,26.8,56.7,167.2,247.7,193.3,57.9,26.6,0.7,21.8,18.1,78.1,18.7,2.5,24.9,8.1,8.1,7.7,10.2,10.9,13.8,0.7,39.3,380.2,29,0.066,0.047,0.522,0.632,22716,814,474,1,-4,46.05,51.84,0.53,0.81,21.96,12.19,9.03,18.18,7.28,24.39,13.19,32.94,20.92,38.83,10.08,34.74,9.12,53883,24295,9.52,7.62,8.86,10.17,9.15,18.82,81.18,16.99,74.53,28.13,211000,-49.1,8.56,75.65,24.35,8.03,46.39,19.41,7.83,0.15,0.63,0.56,25.91,2,1.3,9.02,4.20,0.66,80.63,14.07,0.04,2.01,14.74,1.56,0,5.41,0.70,10.83,68.43,14.97,16.14,43.33
65,West Lawn ,6,7.4,0.41,28,43.6,58.9,8.8,71.6,23.40,1.59,80.5,5103,26.1,36,129.3,202.2,164.5,41.8,13.5,0.7,16.1,19.4,67.3,15.2,1,18.2,8.7,8.7,6,5,3.9,7.1,4.3,19,309.4,56,-0.401,-0.075,0.333,0.593,32950,1401,8,-3,-4,79.14,16.73,3.16,0.29,36.17,23.37,7.57,30.99,8.04,31.24,8.40,44.45,18.05,25.83,9.18,50.30,30.12,48357,17020,9.55,9.63,14.85,20.59,9.22,33.60,66.40,9.07,86.48,,182517,-55.7,6.35,77.58,22.42,5.81,57.72,18.83,5.84,0.48,1.98,0.92,39.32,3.2,1,10.00,1.82,0.46,85.05,12.45,0.03,2.85,29.71,3.09,3,24.82,1.05,12.36,54.31,22.30,27.50,42.42
66,Chicago Lawn ,6,12.1,0.29,31,45.4,68.9,12.3,69.3,80.02,5.07,75.2,10237,26.2,53.5,162.3,267.3,191.8,47.4,30.7,2.8,25.9,44.6,71.2,14.8,6.1,29.1,27.4,27.4,8.4,3.7,9.4,8.4,2.5,26,407.7,80,-0.371,-0.346,0.544,0.559,54807,-3207,52,-9,0,41.75,3.47,53.48,0.80,21.28,15.82,9.48,19.99,10.36,34.12,6.48,40.46,42.35,52.42,5.20,52.45,54.63,34018,12781,17.06,25.60,27.93,43.32,21.31,31.18,68.82,9.13,95.22,22.98,140700,-74.8,19.05,44.56,55.44,10.09,56.66,20.63,7.82,0.57,5.02,2.28,48.32,3.3,4.2,24.84,2.33,0.00,75.95,21.39,0.02,2.32,32.54,10.97,39,40.84,5.21,27.43,36.19,24.62,33.40,57.06
67,West Englewood ,6,13.8,1.50,20,41,102.8,15.7,62,143.41,10.17,70.1,17379,23.2,67.4,151.8,267.1,242.5,67,31.1,2.4,25.4,61,95.5,22,18.2,55,56.8,56.8,13.7,7.5,25.1,9.1,13.4,32.8,457.4,89,-0.342,-0.671,0.101,0.508,35294,-3083,157,-9,-2,2.56,1.22,94.85,0.12,1.94,1.28,16.27,1.33,7.32,28.40,12.33,27.92,68.21,78.37,9.92,41.36,67.66,27748,11288,35.87,40.66,34.44,53.83,52.33,26.27,73.73,6.90,90.73,35.21,111495,-87.1,24.44,47.12,52.88,11.35,41.04,11.14,8.54,0.14,4.53,0.90,47.41,2.6,8.3,35.98,2.71,0.32,58.45,37.20,0.00,2.76,49.06,24.67,98,53.21,5.39,55.39,27.26,25.16,27.99,59.65
68,Englewood ,6,13.8,0.69,15,38,92.1,12.6,63.3,154.29,11.21,70.7,16228,21.9,71.1,174.8,311.5,258.2,78.2,31,3.8,28.3,61.6,107.6,16.4,17.7,53.3,44.9,44.9,14.1,5.6,21.9,7.3,11.3,28.5,512.1,94,-0.487,-0.702,0.065,0.428,28824,-4623,-72,-11,0,0.95,0.59,97.40,0.05,0.70,0.24,17.20,0.47,8.45,30.49,11.97,27.84,80.62,87.21,12.80,39.51,59.99,19548,11541,28.00,41.50,46.65,62.92,43.53,28.49,71.51,5.40,95.22,28.06,128018,-89.6,33.55,29.62,70.38,14.28,50.36,10.52,8.69,3.23,6.81,0.59,47.26,2.7,11.1,49.39,2.87,0.16,60.90,35.95,0.00,1.68,54.54,28.51,77,74.62,5.55,65.12,27.18,20.55,26.48,43.68
69,Greater Grand Crossing ,7,11.7,0.69,19,38.7,70.8,10.9,64.1,138.71,5.82,71.1,16244,21.2,50.9,160.3,282.3,270.5,72.5,33.5,4.1,33.7,44.6,82.2,20.5,18.8,34.4,47.6,47.6,8.8,3.3,16.8,7.5,13.4,28.2,468.2,66,-0.003,-0.221,0.086,0.540,32873,-3148,205,-11,0,1.37,0.99,96.31,0.08,1.12,0.50,15.59,0.85,7.55,27.88,13.13,26.15,75.85,86.65,12.10,34.90,46.09,29585,16871,23.05,32.39,29.62,49.82,37.61,16.52,83.48,17.74,94.72,31.72,143000,-81.0,22.63,35.37,64.63,10.41,50.09,15.34,9.00,0.73,2.05,1.17,41.44,2.6,6.5,37.76,3.59,0.08,60.44,35.20,0.06,1.41,50.52,21.93,58,68.54,6.69,53.62,37.65,20.10,26.43,49.79
70,Ashburn ,5,8.9,0.20,21,45.5,40.3,12.7,72.4,41.47,2.31,78.2,7483,27.1,40.7,120.2,188.5,208.8,54.2,38.6,1.6,28,37.3,72.7,22.1,2.4,24.4,14.2,14.2,9.2,1.9,2.4,2.8,1.9,39,336.4,37,0.222,0.140,0.618,0.641,42788,3318,-131,-1,-2,30.73,16.71,51.53,0.28,14.42,7.60,9.29,12.25,6.47,27.12,9.82,38.77,24.94,30.39,7.18,45.46,34.79,67838,23569,11.72,10.81,10.39,19.30,16.30,17.69,82.31,19.39,84.11,29.40,182100,-50.7,4.97,86.07,13.93,4.38,42.47,31.46,8.43,0.16,1.40,0.66,26.01,3,1.3,6.52,1.30,0.00,85.67,12.59,0.07,2.07,21.69,4.72,15,19.93,2.22,22.24,66.40,15.10,16.38,47.80
71,Auburn Gresham ,5,14.4,0.64,18,39.6,66.4,15.4,63.9,116.59,6.42,72.6,14399,23.3,61,143.7,260.6,228.5,64.2,39.2,5.5,22.6,35.1,82.7,20.6,14,33.7,41.8,41.8,9,4.8,14.4,7.7,4.9,26.2,420.8,74,-0.205,-0.310,0.054,0.548,49634,-2167,-110,-9,0,0.98,0.27,98.08,0.16,0.89,0.48,15.50,0.82,6.92,26.96,14.90,26.31,71.87,78.27,11.56,37.44,51.89,29774,14981,28.34,34.08,27.58,45.48,41.21,18.48,81.52,12.21,92.99,,150007,-72.1,17.11,46.64,53.36,9.65,44.54,12.97,7.98,0.87,2.79,0.72,44.58,2.8,4.4,34.53,1.54,0.00,61.97,35.07,0.04,1.73,42.53,17.32,55,44.40,6.31,48.18,39.30,19.92,23.35,53.47
72,Beverly ,5,8,0.16,9,37,9.1,11,84.2,24.21,2.31,80.5,6016,18.9,48,131.7,197.3,174.6,40.2,37,1.2,19.2,36.3,57,30,1.4,17.6,8.1,8.1,6.4,7.7,2.7,3.5,0,31.3,310.3,12,0.480,0.470,0.556,0.612,21226,-369,-343,7,-2,5.14,58.22,34.70,0.29,3.49,0.71,7.95,1.44,6.64,27.43,13.05,31.01,13.52,20.34,10.53,35.42,21.52,92326,40327,8.01,4.39,5.09,4.23,13.56,3.71,96.29,55.11,46.78,28.15,308429,-22.5,7.35,81.71,18.29,2.34,39.20,19.40,17.07,0.00,1.05,0.00,19.33,1.1,1.2,5.92,1.30,0.88,79.52,17.78,0.00,4.69,17.32,1.80,1,3.11,0.19,14.39,86.83,4.84,3.38,29.59
73,Washington Heights ,5,13.8,0.77,6,43,57.4,12.9,65.5,127.35,4.07,74.9,13283,25.8,48.1,140.1,248.2,246.2,61.1,44.2,2.7,27,48,84.3,24.7,11.6,39.4,33,33,15,3.7,15.3,2.6,6.6,35.1,419.2,48,0.140,0.075,0.073,0.600,26021,-1856,-291,-5,-2,0.73,0.99,97.58,0.01,0.72,0.33,15.79,0.57,4.92,21.84,20.77,20.94,57.88,62.19,14.40,31.80,64.39,43822,19536,20.80,21.22,16.88,29.61,32.87,13.74,86.26,17.90,89.95,18.28,152550,-72.5,12.26,67.19,32.81,5.34,37.42,13.67,9.00,0.92,1.60,0.00,34.14,2.7,2.6,19.51,1.00,0.34,69.38,28.59,0.00,2.1,36.05,11.44,41,67.33,5.48,59.92,54.14,16.46,15.31,62.46
74,Mount Greenwood ,5,3.1,0.11,16,38.8,6.3,13.3,85.4,6.27,2.38,79.6,4344,19.9,27.6,154.4,213.3,194,53.3,31.1,3,22.4,29.3,55.9,20.5,0,32.3,1.1,1.1,6.9,5.3,8.5,4.8,0.9,38.6,348.2,16,0.503,0.407,0.227,0.626,18475,-224,277,5,-2,5.07,88.32,5.07,0.91,2.80,1.35,8.81,1.22,6.50,25.16,11.62,36.65,8.36,14.00,8.85,37.94,6.96,86789,34644,8.75,2.38,3.37,2.01,7.95,4.35,95.65,32.19,26.93,12.70,245425,-29.2,7.44,90.65,9.35,3.99,36.93,25.79,14.11,0.00,1.61,0.38,12.99,1.1,0.9,4.93,2.29,0.14,90.88,6.48,0.05,5.34,11.84,1.00,1,7.29,0.44,18.11,90.51,3.95,2.42,32.19
75,Morgan Park ,5,11.9,0.29,5,42.4,44.5,14.6,70,64.12,2.98,75.3,10371,24.8,43.9,126,217.8,202.9,45.8,36.7,2.5,27.2,28.8,63.2,21.5,8.3,31.2,23.4,23.4,7.7,6.2,7.8,3.7,2.5,34,358.1,30,0.239,0.241,0.565,0.647,22681,-1835,-119,1,-2,6.36,38.32,53.31,0.63,4.34,1.80,13.65,2.34,5.39,23.46,15.78,28.29,35.53,38.54,13.18,32.13,24.09,57566,27338,13.80,14.01,12.61,18.90,18.31,11.78,88.22,28.57,85.42,,197043,-39.6,10.98,73.26,26.74,5.10,42.98,18.92,10.27,0.52,1.36,0.62,24.47,1.6,2.9,13.16,1.95,0.36,80.80,15.77,0.10,2.18,25.02,4.81,14,27.44,4.52,29.34,66.88,12.26,11.49,52.45
76,O'Hare ,1,3.6,0.45,3,33.1,21.2,9.9,78.8,10.58,1.64,82.2,5703,15.4,39.7,109.6,158,149.7,39.1,17.4,0,13.7,9.6,54.5,10.1,1.6,22.5,3.3,3.3,7.5,11.7,6.6,8.1,1.2,15.1,274.8,24,0.420,0.370,0.475,0.605,13687,654,-101,5,-4,17.73,70.96,1.61,7.71,41.72,20.95,9.30,29.99,8.36,19.87,14.76,25.65,13.59,18.01,10.93,26.75,17.75,41294,21614,7.30,5.32,14.57,30.33,7.48,13.55,86.45,26.79,76.21,36.75,200000,,8.68,50.35,49.65,9.49,57.66,15.37,7.34,0.59,1.97,1.29,32.13,0.8,1.5,9.76,2.23,0.09,86.44,8.20,0.14,0.14,26.95,1.24,0,7.35,0.00,6.59,57.62,21.72,25.95,54.89
77,Edgewater ,1,7,2.45,15,35.7,11.6,10.9,70.3,18.93,2.73,79.8,6646,19.2,30.3,137.9,205.6,160.7,42.9,22.2,1.3,14.8,19.9,52.8,11.9,6.1,21.2,2.8,2.8,5.1,10.5,8.1,4.8,2.2,24.1,310,19,0.091,0.184,0.652,0.631,55333,-3936,968,9,2,16.30,53.45,14.66,12.20,30.50,17.11,10.08,13.22,4.75,11.86,11.95,12.58,25.68,32.89,11.82,13.42,11.47,44395,32511,9.24,9.14,18.16,22.03,14.52,9.71,90.29,54.54,85.22,,248971,-19.3,9.91,39.03,60.97,15.63,60.12,14.27,5.98,1.54,2.82,2.24,35.88,1,2.2,40.13,6.37,1.97,46.15,43.27,0.20,0.98,15.68,2.23,4,13.41,2.33,13.71,65.48,20.05,19.85,49.23
78,All Chicago,0,,,,,,10.6,72.3,68.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.29,32.33,32.31,5.52,21.17,12.59,10.71,16.34,6.90,23.01,10.54,25.41,34.75,136.79,8.94,29.80,29.78,48150,27756,12.82,17.00,19.64,32.21,,19.41,80.59,33.50,,,259211,,13.90,46.28,53.72,13.05,54.73,15.15,7.17,0.71,2.69,1.68,35.56,1.6,2.9,26.62,6.65,1.34,62.78,27.71,,,,,,,,,54.44,19.56,21.80,51.59
