CommunityArea,Region,Total Population,"Change in Population, 2000-2010 (%)",Hispanic (%),Non-Hispanic Black (%),Non-Hispanic White (%),Asian (%),Other or Multiple Races (%),"Children with All Parents in Labor Force, 0-5 (%)","Children with All Parents in Labor Force, 6-17 (%)","Children in Poverty, 0-5 (%)","Children in Poverty, 6-17 (%)","Children below 185% of Poverty Line, 0-5 (%)","Children below 185% of Poverty Line, 6-17 (%)","Hardship Index, 2010",Childhood Opportunity Index,Gentrification Index 2000 to 2010,Life Expectancy at Birth 2010,Change in 25-34 w College Degree 2000 - 2011,Low Birth Weight Rate (%) 2009,"Infant Mortality Rate (Per 1,000 Live Births) 2010",Owner-Occupied housing % 2012,College Education % 2012,Families in poverty % 2012,"% Households with SNAP Benefits, 2011",Unemployment Rate 2011 (%),Stroke,CHD,Heart Failure,Cancer,Lung Cancer,Diabetes,Homicide,Unintentional Injury,Premature Mortality Rate (YPLL 2011),Premature Diabetes Mortality Rate (YPLL 2011)
West Elsdon,6,18109,13.7,79,1,18,1,0,46,59,20,18,66,53,69,0.807986,-4,81,149,4.6,8.1,73,12,16,15.76,16.66,39.6,157.4,213.9,164.4,49.6,72.1,2.9,35.4,4838,190
Gage Park,6,39894,1.8,89,5,5,0,0,49,53,27,27,70,69,93,0.631854,0,79.2,76,6.8,5.4,53,7,22,22.28,16.26,42.5,115.6,178.2,165.1,29.4,67.2,10.2,30.4,5407,320
Clearing,6,23139,3.6,45,1,52,1,1,59,75,10,8,35,33,29,1.089716,-4,77.5,474,7.4,6.7,73,17,8,4.94,10.98,56.7,167.2,247.7,193.3,57.9,78.1,8.1,24.9,8115,450
West Lawn,6,33355,14.1,80,4,15,1,0,45,58,19,22,48,49,56,0.9704855,-4,80.5,8,7.6,8.4,75,9,14,7.97,9.09,36,129.3,202.2,164.5,41.8,67.3,8.7,18.2,5103,322
Chicago Lawn,6,55628,-9.4,45,49,4,0,1,58,60,34,37,66,65,80,0.5599535,0,75.2,52,9.4,11.1,47,9,26,19.47,14.25,53.5,162.3,267.3,191.8,47.4,71.2,27.4,29.1,10237,520
West Englewood,6,35505,-21.6,2,96,0,0,1,63,72,48,53,83,77,89,0.2352015,-2,70.1,157,16.1,13.3,47,7,34,39.65,35.92,67.4,151.8,267.1,242.5,67,95.5,56.8,55,17379,1002
Englewood,6,30654,-23.8,1,97,0,0,1,59,65,58,58,79,82,94,0.1920195,0,70.7,-72,14.5,13.4,28,5,42,34.93,23.56,71.1,174.8,311.5,258.2,78.2,107.6,44.9,53.3,16228,1192
Greater Grand Crossing,7,32602,-15.6,1,97,1,0,1,70,81,59,51,79,75,66,0.728698,0,71.1,205,12.9,14.2,34,18,31,30.35,20.71,50.9,160.3,282.3,270.5,72.5,82.2,47.6,34.4,16244,815
Ashburn,5,41081,3.8,37,46,15,1,1,53,70,20,15,47,40,37,1.1631875,-2,78.2,-131,9,10.2,87,19,10,7.77,10.18,40.7,120.2,188.5,208.8,54.2,72.7,14.2,24.4,7483,477
Auburn Gresham,5,48743,-12.8,1,98,0,0,1,76,79,50,42,67,58,74,0.6311955,0,72.6,-110,11.6,15.6,47,12,25,30.23,26.21,61,143.7,260.6,228.5,64.2,82.7,41.8,33.7,14399,845
Beverly,5,20034,-8.9,5,34,59,1,2,68,70,4,4,13,16,12,1.4713005,-2,80.5,-343,4.9,10,81,55,3,4.46,7.02,48,131.7,197.3,174.6,40.2,57,8.1,17.6,6016,245
Washington Height,5,26493,-11.2,1,97,0,0,1,72,77,27,24,48,43,48,0.9613815,-2,74.9,-291,19.6,11.2,69,18,18,18.57,18.75,48.1,140.1,248.2,246.2,61.1,84.3,33,39.4,13283,980
Mount Greenwood,5,19093,1.5,7,5,86,1,1,64,75,2,3,7,8,16,1.3791235,-2,79.6,277,8.4,3.3,86,32,2,1.75,7.69,27.6,154.4,213.3,194,53.3,55.9,1.1,32.3,4344,204
Morgan Park,5,22530,-10.6,3,67,29,0,1,69,83,30,9,36,31,30,1.2747965,-2,75.3,-119,10.6,13.1,72,32,11,12.45,13.45,43.9,126,217.8,202.9,45.8,63.2,23.4,31.2,10371,391
O'Hare,1,12559,6.7,9,3,77,8,2,40,74,6,22,23,43,24,1.3584105,-4,82.2,-101,3.5,2,45,30,14,4.95,5.97,39.7,109.6,158,149.7,39.1,54.5,3.3,22.5,5703,305
Edgewater,1,56521,-9.1,16,14,55,12,3,62,62,29,24,43,41,19,1.1974175,2,79.8,968,7.5,6.9,37,54,13,8.12,9.15,30.3,137.9,205.6,160.7,42.9,52.8,2.8,21.2,6646,524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
